implementation	mode	scenario	repetition	command
baseline	normal	processes	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-processes-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-processes-3/config/config.toml
baseline	normal	unavailable-service	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-unavailable-service-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-unavailable-service-1/config/config.toml
baseline	normal	unavailable-service	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-unavailable-service-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-unavailable-service-2/config/config.toml
baseline	normal	unavailable-service	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-unavailable-service-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-unavailable-service-3/config/config.toml
baseline	normal	timeout	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-timeout-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-timeout-1/config/config.toml
baseline	normal	timeout	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-timeout-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-timeout-2/config/config.toml
baseline	normal	timeout	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-timeout-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-timeout-3/config/config.toml
baseline	cpu0	hidden	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-hidden-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-hidden-1/config/config.toml
baseline	cpu0	hidden	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-hidden-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-hidden-2/config/config.toml
baseline	cpu0	hidden	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-hidden-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-hidden-3/config/config.toml
baseline	cpu0	main	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-main-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-main-1/config/config.toml
baseline	cpu0	main	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-main-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-main-2/config/config.toml
baseline	cpu0	main	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-main-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-main-3/config/config.toml
baseline	cpu0	graphs	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-graphs-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-graphs-1/config/config.toml
baseline	cpu0	graphs	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-graphs-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-graphs-2/config/config.toml
baseline	cpu0	graphs	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-graphs-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-graphs-3/config/config.toml
baseline	cpu0	processes	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-processes-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-processes-1/config/config.toml
baseline	cpu0	processes	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-processes-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-processes-2/config/config.toml
baseline	cpu0	processes	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-processes-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-processes-3/config/config.toml
baseline	cpu0	unavailable-service	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-unavailable-service-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-unavailable-service-1/config/config.toml
baseline	cpu0	unavailable-service	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-unavailable-service-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-unavailable-service-2/config/config.toml
baseline	cpu0	unavailable-service	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-unavailable-service-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-unavailable-service-3/config/config.toml
baseline	cpu0	timeout	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-timeout-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-timeout-1/config/config.toml
baseline	cpu0	timeout	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-timeout-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-timeout-2/config/config.toml
baseline	cpu0	timeout	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-cpu0-timeout-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-cpu0-timeout-3/config/config.toml
candidate	normal	hidden	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-hidden-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-hidden-1/config/config.toml
candidate	normal	hidden	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-hidden-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-hidden-2/config/config.toml
candidate	normal	hidden	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-hidden-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-hidden-3/config/config.toml
candidate	normal	main	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-main-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-main-1/config/config.toml
candidate	normal	main	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-main-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-main-2/config/config.toml
candidate	normal	main	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-main-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-main-3/config/config.toml
candidate	normal	graphs	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-graphs-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-graphs-1/config/config.toml
candidate	normal	graphs	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-graphs-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-graphs-2/config/config.toml
candidate	normal	graphs	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-graphs-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-graphs-3/config/config.toml
candidate	normal	processes	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-processes-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-processes-1/config/config.toml
candidate	normal	processes	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-processes-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-processes-2/config/config.toml
candidate	normal	processes	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-processes-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-processes-3/config/config.toml
candidate	normal	unavailable-service	1	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-unavailable-service-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-unavailable-service-1/config/config.toml
candidate	normal	unavailable-service	2	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-unavailable-service-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-unavailable-service-2/config/config.toml
candidate	normal	unavailable-service	3	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-unavailable-service-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-unavailable-service-3/config/config.toml
candidate	normal	timeout	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-timeout-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-timeout-1/config/config.toml
candidate	normal	timeout	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-timeout-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-timeout-2/config/config.toml
candidate	normal	timeout	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-normal-timeout-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-normal-timeout-3/config/config.toml
candidate	cpu0	hidden	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-hidden-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-hidden-1/config/config.toml
candidate	cpu0	hidden	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-hidden-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-hidden-2/config/config.toml
candidate	cpu0	hidden	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-hidden-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-hidden-3/config/config.toml
candidate	cpu0	main	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-main-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-main-1/config/config.toml
candidate	cpu0	main	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-main-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-main-2/config/config.toml
candidate	cpu0	main	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-main-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-main-3/config/config.toml
