implementation	mode	scenario	repetition	daemon_exit	forced_kill	shutdown_seconds	state_check	process_check	protocol_note
candidate	normal	hidden	1	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	hidden	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	hidden	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	main	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	main	2	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	main	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	graphs	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	graphs	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	graphs	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	processes	1	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	processes	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	normal	processes	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	hidden	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	hidden	2	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	hidden	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	main	1	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	main	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	main	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	graphs	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	graphs	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	graphs	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	processes	1	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	processes	2	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
candidate	cpu0	processes	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate presentation lease is created before daemon launch; timeout_elapsed=NA; timeout_detail=NA
