implementation	mode	scenario	repetition	command
baseline	normal	processes	2	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-normal-processes-2/config/config.toml
baseline	normal	processes	3	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-normal-processes-3/config/config.toml
baseline	cpu0	hidden	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-hidden-1/config/config.toml
baseline	cpu0	hidden	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-hidden-2/config/config.toml
baseline	cpu0	hidden	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-hidden-3/config/config.toml
baseline	cpu0	main	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-main-1/config/config.toml
baseline	cpu0	main	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-main-2/config/config.toml
baseline	cpu0	main	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-main-3/config/config.toml
baseline	cpu0	graphs	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-graphs-1/config/config.toml
baseline	cpu0	graphs	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-graphs-2/config/config.toml
baseline	cpu0	graphs	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-graphs-3/config/config.toml
baseline	cpu0	processes	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-processes-1/config/config.toml
baseline	cpu0	processes	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-processes-2/config/config.toml
baseline	cpu0	processes	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/baseline-cpu0-processes-3/config/config.toml
candidate	normal	hidden	1	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-hidden-1/config/config.toml
candidate	normal	hidden	2	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-hidden-2/config/config.toml
candidate	normal	hidden	3	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-hidden-3/config/config.toml
candidate	normal	main	1	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-main-1/config/config.toml
candidate	normal	main	2	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-main-2/config/config.toml
candidate	normal	main	3	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-main-3/config/config.toml
candidate	normal	graphs	1	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-graphs-1/config/config.toml
candidate	normal	graphs	2	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-graphs-2/config/config.toml
candidate	normal	graphs	3	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-graphs-3/config/config.toml
candidate	normal	processes	1	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-processes-1/config/config.toml
candidate	normal	processes	2	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-processes-2/config/config.toml
candidate	normal	processes	3	/usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-normal-processes-3/config/config.toml
candidate	cpu0	hidden	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-hidden-1/config/config.toml
candidate	cpu0	hidden	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-hidden-2/config/config.toml
candidate	cpu0	hidden	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-hidden-3/config/config.toml
candidate	cpu0	main	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-main-1/config/config.toml
candidate	cpu0	main	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-main-2/config/config.toml
candidate	cpu0	main	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-main-3/config/config.toml
candidate	cpu0	graphs	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-graphs-1/config/config.toml
candidate	cpu0	graphs	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-graphs-2/config/config.toml
candidate	cpu0	graphs	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-graphs-3/config/config.toml
candidate	cpu0	processes	1	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-processes-1/config/config.toml
candidate	cpu0	processes	2	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-processes-2/config/config.toml
candidate	cpu0	processes	3	/usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-resource/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.DfO4UkAG/candidate-cpu0-processes-3/config/config.toml
